metric,year,channel,month,value
Total Orders,2023,Total,Sep,148
Total Orders,2023,Total,Oct,241
Total Orders,2023,Total,Nov,155
Total Orders,2023,Total,Dec,244
Orders Inspected,2025,Total,Jan,95
Orders Inspected,2025,Total,Feb,60
Orders Inspected,2025,Total,Mar,175
Orders Inspected,2025,Total,Apr,139
Orders Inspected,2024,Total,Jan,114
Orders Inspected,2024,Total,Feb,27
Orders Inspected,2024,Total,Mar,172
Orders Inspected,2024,Total,Apr,244
Orders Inspected,2024,Total,May,185
Orders Inspected,2024,Total,Jun,202
Orders Inspected,2024,Total,Jul,145
Orders Inspected,2024,Total,Aug,119
Orders Inspected,2024,Total,Sep,152
Orders Inspected,2024,Total,Oct,144
Orders Inspected,2024,Total,Nov,170
Orders Inspected,2024,Total,Dec,201
Orders Inspected,2023,Total,Jan,59
Orders Inspected,2023,Total,Feb,104
Orders Inspected,2023,Total,Mar,92
Orders Inspected,2023,Total,Apr,104
Orders Inspected,2023,Total,May,100
Orders Inspected,2023,Total,Jun,305
Orders Inspected,2023,Total,Jul,342
Orders Inspected,2023,Total,Aug,179
Orders Inspected,2023,Total,Sep,128
Orders Inspected,2023,Total,Oct,217
Orders Inspected,2023,Total,Nov,135
Orders Inspected,2023,Total,Dec,212
Percent Order Inspected,2025,Total,Jan,0.7851
Percent Order Inspected,2025,Total,Feb,0.7143
Percent Order Inspected,2025,Total,Mar,0.8663
Percent Order Inspected,2025,Total,Apr,0.9026
Percent Order Inspected,2024,Total,Jan,0.8382
Percent Order Inspected,2024,Total,Feb,0.964
Percent Order Inspected,2024,Total,Mar,0.8557
Percent Order Inspected,2024,Total,Apr,0.85
Percent Order Inspected,2024,Total,May,0.8937
Percent Order Inspected,2024,Total,Jun,0.8783
Percent Order Inspected,2024,Total,Jul,0.8788
Percent Order Inspected,2024,Total,Aug,0.7987
Percent Order Inspected,2024,Total,Sep,0.9102
Percent Order Inspected,2024,Total,Oct,0.9057
Percent Order Inspected,2024,Total,Nov,0.7391
Percent Order Inspected,2024,Total,Dec,0.739
Percent Order Inspected,2023,Total,Jan,0.6941
Percent Order Inspected,2023,Total,Feb,0.9630
Percent Order Inspected,2023,Total,Mar,0.702
Percent Order Inspected,2023,Total,Apr,0.89
Percent Order Inspected,2023,Total,May,0.862
Percent Order Inspected,2023,Total,Jun,0.971
Percent Order Inspected,2023,Total,Jul,0.997
Percent Order Inspected,2023,Total,Aug,0.9275
Percent Order Inspected,2023,Total,Sep,0.865
Percent Order Inspected,2023,Total,Oct,0.9004
Percent Order Inspected,2023,Total,Nov,0.871
Percent Order Inspected,2023,Total,Dec,0.8689
Total Cost of Inspection,2025,Total,Jan,3075.71
Total Cost of Inspection,2025,Total,Feb,2105.14
Total Cost of Inspection,2025,Total,Mar,4554.57
Total Cost of Inspection,2025,Total,Apr,3332.36
Total Cost of Inspection,2024,Total,Jan,2936
Total Cost of Inspection,2024,Total,Feb,637
Total Cost of Inspection,2024,Total,Mar,4231
Total Cost of Inspection,2024,Total,Apr,5200
Total Cost of Inspection,2024,Total,May,4761
Total Cost of Inspection,2024,Total,Jun,4963
Total Cost of Inspection,2024,Total,Jul,4098
Total Cost of Inspection,2024,Total,Aug,3444
Total Cost of Inspection,2024,Total,Sep,4065
Total Cost of Inspection,2024,Total,Oct,4159
Total Cost of Inspection,2024,Total,Nov,4816
Total Cost of Inspection,2024,Total,Dec,5318
Total Cost of Inspection,2023,Total,Jan,864
Total Cost of Inspection,2023,Total,Feb,993
Total Cost of Inspection,2023,Total,Mar,1402
Total Cost of Inspection,2023,Total,Apr,1900
Total Cost of Inspection,2023,Total,May,2031
Total Cost of Inspection,2023,Total,Jun,4135
Total Cost of Inspection,2023,Total,Jul,4463
Total Cost of Inspection,2023,Total,Aug,4135
Total Cost of Inspection,2023,Total,Sep,3218
Total Cost of Inspection,2023,Total,Oct,4148
Total Cost of Inspection,2023,Total,Nov,3038
Total Cost of Inspection,2023,Total,Dec,4053
Average Cost per Inspection,2025,Total,Jan,32.38
Average Cost per Inspection,2025,Total,Feb,35.09
Average Cost per Inspection,2025,Total,Mar,26.03
Average Cost per Inspection,2025,Total,Apr,23.97
Average Cost per Inspection,2024,Total,Jan,25.75
Average Cost per Inspection,2024,Total,Feb,23.59
Average Cost per Inspection,2024,Total,Mar,24.61
Average Cost per Inspection,2024,Total,Apr,21.31
Average Cost per Inspection,2024,Total,May,25.74
Average Cost per Inspection,2024,Total,Jun,24.57
Average Cost per Inspection,2024,Total,Jul,28.26
Average Cost per Inspection,2024,Total,Aug,28.94
Average Cost per Inspection,2024,Total,Sep,26.74
Average Cost per Inspection,2024,Total,Oct,28.88
Average Cost per Inspection,2024,Total,Nov,28.33
Average Cost per Inspection,2024,Total,Dec,26.46
Average Cost per Inspection,2023,Total,Jan,15
Average Cost per Inspection,2023,Total,Feb,10
Average Cost per Inspection,2023,Total,Mar,32.6
Average Cost per Inspection,2023,Total,Apr,43.18
Average Cost per Inspection,2023,Total,May,54.9
Average Cost per Inspection,2023,Total,Jun,78.66
Average Cost per Inspection,2023,Total,Jul,85.83
Average Cost per Inspection,2023,Total,Aug,12.27
Average Cost per Inspection,2023,Total,Sep,25.14
Average Cost per Inspection,2023,Total,Oct,19.12
Average Cost per Inspection,2023,Total,Nov,22.17
Average Cost per Inspection,2023,Total,Dec,19.12
